,u,v
0,126,367
1,126,370
2,126,371
3,127,367
4,127,369
5,127,370
6,127,371
7,127,384
8,127,385
9,127,386
10,128,367
11,128,368
12,128,369
13,128,370
14,128,371
15,128,384
16,128,385
17,128,386
18,128,387
19,128,388
20,128,389
21,129,367
22,129,368
23,129,370
24,129,371
25,129,372
26,129,373
27,129,374
28,129,375
29,129,376
30,129,377
31,129,384
32,129,385
33,129,386
34,129,387
35,129,388
36,129,389
37,129,390
38,129,391
39,129,392
40,129,393
41,129,394
42,130,361
43,130,362
44,130,367
45,130,368
46,130,369
47,130,370
48,130,371
49,130,372
50,130,373
51,130,374
52,130,375
53,130,376
54,130,377
55,130,378
56,130,383
57,130,384
58,130,385
59,130,386
60,130,387
61,130,388
62,130,389
63,130,390
64,130,391
65,130,392
66,130,393
67,130,394
68,131,358
69,131,359
70,131,360
71,131,361
72,131,362
73,131,363
74,131,364
75,131,367
76,131,368
77,131,369
78,131,370
79,131,371
80,131,372
81,131,373
82,131,374
83,131,375
84,131,376
85,131,377
86,131,378
87,131,382
88,131,383
89,131,384
90,131,385
91,131,386
92,131,387
93,131,388
94,131,389
95,131,390
96,131,391
97,131,392
98,131,393
99,131,394
100,131,395
101,131,419
102,131,420
103,131,421
104,131,422
105,131,423
106,131,424
107,131,425
108,131,426
109,131,427
110,131,428
111,132,356
112,132,357
113,132,358
114,132,359
115,132,360
116,132,361
117,132,362
118,132,363
119,132,364
120,132,365
121,132,367
122,132,368
123,132,369
124,132,370
125,132,371
126,132,372
127,132,373
128,132,374
129,132,375
130,132,376
131,132,377
132,132,378
133,132,380
134,132,381
135,132,382
136,132,383
137,132,384
138,132,385
139,132,386
140,132,387
141,132,388
142,132,389
143,132,390
144,132,391
145,132,392
146,132,393
147,132,394
148,132,395
149,132,416
150,132,417
151,132,418
152,132,419
153,132,420
154,132,421
155,132,422
156,132,423
157,132,424
158,132,425
159,132,426
160,132,427
161,132,428
162,132,429
163,133,355
164,133,356
165,133,357
166,133,358
167,133,359
168,133,360
169,133,361
170,133,362
171,133,363
172,133,364
173,133,365
174,133,366
175,133,367
176,133,368
177,133,369
178,133,370
179,133,371
180,133,372
181,133,373
182,133,374
183,133,375
184,133,376
185,133,377
186,133,378
187,133,379
188,133,380
189,133,381
190,133,382
191,133,383
192,133,384
193,133,385
194,133,386
195,133,387
196,133,388
197,133,389
198,133,390
199,133,391
200,133,392
201,133,393
202,133,394
203,133,395
204,133,396
205,133,413
206,133,414
207,133,415
208,133,416
209,133,417
210,133,418
211,133,419
212,133,420
213,133,421
214,133,422
215,133,423
216,133,424
217,133,425
218,133,426
219,133,427
220,133,428
221,133,429
222,134,354
223,134,355
224,134,356
225,134,357
226,134,358
227,134,359
228,134,360
229,134,361
230,134,362
231,134,363
232,134,364
233,134,365
234,134,366
235,134,367
236,134,368
237,134,369
238,134,370
239,134,371
240,134,372
241,134,373
242,134,374
243,134,375
244,134,376
245,134,377
246,134,378
247,134,379
248,134,380
249,134,381
250,134,382
251,134,383
252,134,384
253,134,385
254,134,386
255,134,387
256,134,388
257,134,389
258,134,390
259,134,391
260,134,392
261,134,393
262,134,394
263,134,395
264,134,396
265,134,413
266,134,414
267,134,415
268,134,416
269,134,417
270,134,418
271,134,419
272,134,420
273,134,421
274,134,422
275,134,423
276,134,424
277,134,425
278,134,426
279,134,427
280,134,428
281,134,429
282,135,354
283,135,355
284,135,356
285,135,357
286,135,358
287,135,359
288,135,360
289,135,361
290,135,362
291,135,363
292,135,364
293,135,365
294,135,366
295,135,367
296,135,368
297,135,369
298,135,370
299,135,371
300,135,372
301,135,373
302,135,374
303,135,375
304,135,376
305,135,377
306,135,378
307,135,379
308,135,380
309,135,381
310,135,382
311,135,383
312,135,384
313,135,385
314,135,386
315,135,387
316,135,388
317,135,389
318,135,390
319,135,391
320,135,392
321,135,393
322,135,394
323,135,395
324,135,396
325,135,412
326,135,413
327,135,414
328,135,415
329,135,416
330,135,417
331,135,418
332,135,419
333,135,420
334,135,421
335,135,422
336,135,423
337,135,424
338,135,425
339,135,426
340,135,427
341,135,428
342,135,429
343,135,430
344,136,354
345,136,355
346,136,356
347,136,357
348,136,358
349,136,359
350,136,360
351,136,361
352,136,362
353,136,363
354,136,364
355,136,365
356,136,366
357,136,367
358,136,368
359,136,369
360,136,370
361,136,371
362,136,372
363,136,373
364,136,374
365,136,375
366,136,376
367,136,377
368,136,378
369,136,379
370,136,380
371,136,381
372,136,382
373,136,383
374,136,384
375,136,385
376,136,386
377,136,387
378,136,388
379,136,389
380,136,390
381,136,391
382,136,392
383,136,393
384,136,394
385,136,395
386,136,396
387,136,412
388,136,413
389,136,414
390,136,415
391,136,416
392,136,417
393,136,418
394,136,419
395,136,420
396,136,421
397,136,422
398,136,423
399,136,424
400,136,425
401,136,426
402,136,427
403,136,428
404,136,429
405,136,430
406,137,354
407,137,355
408,137,356
409,137,357
410,137,358
411,137,359
412,137,360
413,137,361
414,137,362
415,137,363
416,137,364
417,137,365
418,137,366
419,137,367
420,137,368
421,137,369
422,137,370
423,137,371
424,137,372
425,137,373
426,137,374
427,137,375
428,137,376
429,137,377
430,137,378
431,137,379
432,137,380
433,137,381
434,137,382
435,137,383
436,137,384
437,137,385
438,137,386
439,137,387
440,137,388
441,137,389
442,137,390
443,137,391
444,137,392
445,137,393
446,137,394
447,137,395
448,137,396
449,137,412
450,137,413
451,137,414
452,137,415
453,137,416
454,137,417
455,137,418
456,137,419
457,137,420
458,137,421
459,137,422
460,137,423
461,137,424
462,137,425
463,137,426
464,137,427
465,137,428
466,137,429
467,137,430
468,138,354
469,138,355
470,138,356
471,138,357
472,138,358
473,138,359
