,u,v
0,128,386
1,128,387
2,128,388
3,128,389
4,128,390
5,128,391
6,128,392
7,128,393
8,129,384
9,129,385
10,129,386
11,129,387
12,129,388
13,129,389
14,129,390
15,129,391
16,129,392
17,129,393
18,129,394
19,130,382
20,130,383
21,130,384
22,130,385
23,130,386
24,130,387
25,130,388
26,130,389
27,130,390
28,130,391
29,130,392
30,130,393
31,130,394
32,130,395
33,131,381
34,131,382
35,131,383
36,131,384
37,131,385
38,131,386
39,131,387
40,131,388
41,131,389
42,131,390
43,131,391
44,131,392
45,131,393
46,131,394
47,131,395
48,132,381
49,132,382
50,132,383
51,132,384
52,132,385
53,132,386
54,132,387
55,132,388
56,132,389
57,132,390
58,132,391
59,132,392
60,132,393
61,132,394
62,132,395
63,132,396
64,133,381
65,133,382
66,133,383
67,133,384
68,133,385
69,133,386
70,133,387
71,133,388
72,133,389
73,133,390
74,133,391
75,133,392
76,133,393
77,133,394
78,133,395
79,133,396
80,133,397
81,134,381
82,134,382
83,134,383
84,134,384
85,134,385
86,134,386
87,134,387
88,134,388
89,134,389
90,134,390
91,134,391
92,134,392
93,134,393
94,134,394
95,134,395
96,134,396
97,134,397
98,134,426
99,134,427
100,134,428
101,134,429
102,134,430
103,134,431
104,134,432
105,134,433
106,134,434
107,134,435
108,134,436
109,135,381
110,135,382
111,135,383
112,135,384
113,135,385
114,135,386
115,135,387
116,135,388
117,135,389
118,135,390
119,135,391
120,135,392
121,135,393
122,135,394
123,135,395
124,135,396
125,135,397
126,135,424
127,135,425
128,135,426
129,135,427
130,135,428
131,135,429
132,135,430
133,135,431
134,135,432
135,135,433
136,135,434
137,135,435
138,135,436
139,135,437
140,136,381
141,136,382
142,136,383
143,136,384
144,136,385
145,136,386
146,136,387
147,136,388
148,136,389
149,136,390
150,136,391
151,136,392
152,136,393
153,136,394
154,136,395
155,136,396
156,136,397
157,136,422
158,136,423
159,136,424
160,136,425
161,136,426
162,136,427
163,136,428
164,136,429
165,136,430
166,136,431
167,136,432
168,136,433
169,136,434
170,136,435
171,136,436
172,136,437
173,136,438
174,137,381
175,137,382
176,137,383
177,137,384
178,137,385
179,137,386
180,137,387
181,137,388
182,137,389
183,137,390
184,137,391
185,137,392
186,137,393
187,137,394
188,137,395
189,137,396
190,137,397
191,137,422
192,137,423
193,137,424
194,137,425
195,137,426
196,137,427
197,137,428
198,137,429
199,137,430
200,137,431
201,137,432
202,137,433
203,137,434
204,137,435
205,137,436
206,137,437
207,137,438
208,137,439
209,138,381
210,138,382
211,138,383
212,138,384
213,138,385
214,138,386
215,138,387
216,138,388
217,138,389
218,138,390
219,138,391
220,138,392
221,138,393
222,138,394
223,138,395
224,138,396
225,138,397
226,138,420
227,138,421
228,138,422
229,138,423
230,138,424
231,138,425
232,138,426
233,138,427
234,138,428
235,138,429
236,138,430
237,138,431
238,138,432
239,138,433
240,138,434
241,138,435
242,138,436
243,138,437
244,138,438
245,138,439
246,139,381
247,139,382
248,139,383
249,139,384
250,139,385
251,139,386
252,139,387
253,139,388
254,139,389
255,139,390
256,139,391
257,139,392
258,139,393
259,139,394
260,139,395
261,139,396
262,139,397
263,139,420
264,139,421
265,139,422
266,139,423
267,139,424
268,139,425
269,139,426
270,139,427
271,139,428
272,139,429
273,139,430
274,139,431
275,139,432
276,139,433
277,139,434
278,139,435
279,139,436
280,139,437
281,139,438
282,139,439
283,139,440
284,140,382
285,140,383
286,140,384
287,140,385
288,140,386
289,140,387
290,140,388
291,140,389
292,140,390
293,140,391
294,140,392
295,140,393
296,140,394
297,140,395
298,140,396
299,140,420
300,140,421
301,140,422
302,140,423
303,140,424
304,140,425
305,140,426
306,140,427
307,140,428
308,140,429
309,140,430
310,140,431
311,140,432
312,140,433
313,140,434
314,140,435
315,140,436
316,140,437
317,140,438
318,140,439
319,140,440
320,141,383
321,141,384
322,141,385
323,141,386
324,141,387
325,141,388
326,141,389
327,141,390
328,141,391
329,141,392
330,141,393
331,141,394
332,141,395
333,141,396
334,141,420
335,141,421
336,141,422
337,141,423
338,141,424
339,141,425
340,141,426
341,141,427
342,141,428
343,141,429
344,141,430
345,141,431
346,141,432
347,141,433
348,141,434
349,141,435
350,141,436
351,141,437
352,141,438
353,141,439
354,141,440
355,142,387
356,142,388
357,142,389
358,142,390
359,142,391
360,142,392
361,142,393
362,142,394
363,142,395
364,142,420
365,142,421
366,142,422
367,142,423
368,142,424
369,142,425
370,142,426
371,142,427
372,142,428
373,142,429
374,142,430
375,142,431
376,142,432
377,142,433
378,142,434
379,142,435
380,142,436
381,142,437
382,142,438
383,142,439
384,142,440
385,142,441
386,143,391
387,143,392
388,143,393
389,143,394
390,143,395
391,143,420
392,143,421
393,143,422
394,143,423
395,143,424
396,143,425
397,143,426
398,143,427
399,143,428
400,143,429
401,143,430
402,143,431
403,143,432
404,143,433
405,143,434
406,143,435
407,143,436
408,143,437
409,143,438
410,143,439
411,143,440
412,143,441
413,144,420
414,144,421
415,144,422
416,144,423
417,144,424
418,144,425
419,144,426
420,144,427
421,144,428
422,144,429
423,144,430
424,144,431
425,144,432
426,144,433
427,144,434
428,144,435
429,144,436
430,144,437
431,144,438
432,144,439
433,144,440
434,145,420
435,145,421
436,145,422
437,145,423
438,145,424
439,145,425
440,145,426
441,145,427
442,145,428
443,145,429
444,145,430
445,145,431
446,145,432
