,x,y,z
0,0.0025,-0.04861111111111111,0.025
1,0.0026666666666666666,-0.04666666666666667,0.024
2,0.0020777777777777778,-0.03305555555555555,0.017
3,0.007733333333333334,-0.11277777777777778,0.058
4,0.009822222222222224,-0.1322222222222222,0.068
5,0.007622222222222223,-0.0952777777777778,0.049
6,0.004333333333333333,-0.050555555555555555,0.026
7,0.0020666666666666667,-0.05993333333333333,0.031
8,0.004744444444444444,-0.11793333333333332,0.061
9,0.006044444444444445,-0.13146666666666668,0.068
10,0.0069,-0.1334,0.069
11,0.007777777777777778,-0.13533333333333336,0.07
12,0.008922222222222222,-0.14113333333333333,0.073
13,0.0096,-0.1392,0.072
14,0.0104,-0.1392,0.072
15,0.0112,-0.1392,0.072
16,0.011999999999999999,-0.1392,0.072
17,0.01262222222222222,-0.13726666666666665,0.071
18,0.013033333333333334,-0.1334,0.069
19,0.011,-0.10633333333333334,0.055
20,0.003588888888888889,-0.03286666666666667,0.017
21,0.0027222222222222222,-0.09418888888888889,0.049
22,0.004666666666666667,-0.13455555555555557,0.07
23,0.005755555555555555,-0.14224444444444445,0.074
24,0.006933333333333333,-0.14993333333333334,0.078
25,0.0081,-0.1557,0.081
26,0.009444444444444446,-0.16338888888888892,0.085
27,0.010633333333333333,-0.16723333333333332,0.087
28,0.0112,-0.16146666666666668,0.084
29,0.011844444444444446,-0.15762222222222222,0.082
30,0.012444444444444445,-0.15377777777777776,0.08
31,0.013166666666666667,-0.15185555555555555,0.079
32,0.013866666666666666,-0.14993333333333334,0.078
33,0.014922222222222222,-0.15185555555555555,0.079
34,0.0156,-0.14993333333333334,0.078
35,0.015833333333333335,-0.14416666666666667,0.075
36,0.016,-0.1384,0.072
37,0.013300000000000001,-0.10956666666666667,0.057
38,0.009044444444444443,-0.07112222222222223,0.037
39,0.005111111111111111,-0.03844444444444444,0.02
40,-1.1111111111111112e-05,-0.0019111111111111113,0.001
41,0.0,-0.053511111111111107,0.028
42,0.0006,-0.1032,0.054
43,0.0015111111111111113,-0.12995555555555557,0.068
44,0.0021,-0.12040000000000001,0.063
45,0.003288888888888889,-0.14142222222222223,0.074
46,0.004666666666666667,-0.16053333333333333,0.084
47,0.005666666666666667,-0.16244444444444445,0.085
48,0.0067666666666666665,-0.16626666666666665,0.087
49,0.00791111111111111,-0.1700888888888889,0.089
50,0.009,-0.172,0.09
51,0.009999999999999998,-0.172,0.09
52,0.011,-0.172,0.09
53,0.012133333333333335,-0.1739111111111111,0.091
54,0.013144444444444445,-0.1739111111111111,0.091
55,0.014,-0.172,0.09
56,0.014999999999999998,-0.172,0.09
57,0.016,-0.172,0.09
58,0.017,-0.172,0.09
59,0.0178,-0.1700888888888889,0.089
60,0.018577777777777776,-0.16817777777777776,0.088
61,0.018666666666666668,-0.16053333333333333,0.084
62,0.0189,-0.1548,0.081
63,0.018577777777777776,-0.14524444444444443,0.076
64,0.019166666666666665,-0.14333333333333334,0.075
65,0.01893333333333333,-0.1356888888888889,0.071
66,0.016666666666666666,-0.11466666666666667,0.06
67,0.0078,-0.0516,0.027
