,x,y,z
1752,0.004937777777777778,-0.11521481481481481,0.14813333333333334
1753,0.006604444444444445,-0.1155777777777778,0.1486
1754,0.008133333333333333,-0.11386666666666666,0.1464
1755,0.009791111111111112,-0.11422962962962963,0.14686666666666667
1756,0.01157851851851852,-0.1157851851851852,0.14886666666666667
1757,0.013250370370370372,-0.11594074074074076,0.14906666666666668
1758,0.014953333333333332,-0.1163037037037037,0.14953333333333332
1759,0.016725925925925925,-0.11708148148148148,0.15053333333333332
1760,0.01855333333333333,-0.11806666666666667,0.1518
1761,0.020275555555555554,-0.11827407407407406,0.15206666666666666
1762,0.021965185185185185,-0.11827407407407406,0.15206666666666666
1763,0.023644444444444447,-0.11822222222222223,0.152
1764,0.02515555555555556,-0.11739259259259259,0.15093333333333334
1765,0.026690370370370368,-0.11677037037037036,0.1501333333333333
1766,0.027917777777777777,-0.11495555555555553,0.1478
1767,0.029559999999999996,-0.11495555555555553,0.1478
1768,0.03120222222222222,-0.11495555555555553,0.1478
1769,0.032799999999999996,-0.11479999999999999,0.14759999999999998
1770,0.034097777777777775,-0.11365925925925925,0.14613333333333334
1771,0.035477037037037036,-0.11288148148148147,0.14513333333333334
1772,0.036578518518518524,-0.11132592592592593,0.14313333333333333
1773,0.037706666666666666,-0.10997777777777777,0.1414
1774,0.038925925925925926,-0.10899259259259259,0.14013333333333333
1775,0.040117037037037034,-0.1080074074074074,0.13886666666666667
1776,0.04136,-0.10722962962962962,0.13786666666666667
1777,0.04249777777777777,-0.10624444444444443,0.1366
1778,0.04392962962962963,-0.10603703703703703,0.13633333333333333
1779,0.0452,-0.10546666666666665,0.1356
1780,0.04652296296296296,-0.10505185185185185,0.13506666666666667
1781,0.04766814814814815,-0.10427407407407406,0.13406666666666667
1782,0.04935333333333333,-0.1046888888888889,0.1346
1783,0.050471111111111105,-0.10391111111111112,0.1336
1784,0.05195555555555556,-0.10391111111111112,0.1336
1785,0.05354666666666666,-0.10411851851851851,0.13386666666666666
1786,0.05462296296296296,-0.10334074074074073,0.13286666666666666
1787,0.05598666666666667,-0.10313333333333333,0.1326
1788,0.05734444444444444,-0.10292592592592593,0.13233333333333333
1789,0.05881481481481481,-0.10292592592592593,0.13233333333333333
1790,0.060163703703703705,-0.10271851851851853,0.13206666666666667
1791,0.06104,-0.10173333333333334,0.1308
1792,0.06249333333333333,-0.10173333333333334,0.1308
1793,0.06355555555555556,-0.10111111111111111,0.13
1794,-0.025666666666666667,-0.03935555555555556,0.051333333333333335
1795,-0.045890370370370366,-0.07196444444444444,0.09386666666666667
1796,-0.051185925925925926,-0.08213555555555556,0.10713333333333334
1797,-0.051644444444444444,-0.08484444444444444,0.11066666666666666
1798,-0.05132592592592593,-0.08637777777777778,0.11266666666666666
1799,-0.051288888888888884,-0.08847333333333333,0.1154
1800,-0.050988888888888896,-0.0902111111111111,0.11766666666666667
1801,-0.05063851851851852,-0.09194888888888889,0.11993333333333334
1802,-0.04993629629629629,-0.09312444444444444,0.12146666666666667
1803,-0.049813333333333334,-0.09547555555555556,0.12453333333333334
1804,-0.04881851851851852,-0.09624222222222222,0.12553333333333333
1805,-0.04828,-0.09797999999999998,0.1278
1806,-0.04742222222222222,-0.09915555555555555,0.12933333333333333
1807,-0.046435555555555556,-0.10012666666666667,0.1306
1808,-0.045145185185185184,-0.10048444444444445,0.13106666666666666
1809,-0.04384444444444445,-0.10084222222222224,0.13153333333333334
1810,-0.04238296296296296,-0.10084222222222224,0.13153333333333334
1811,-0.0409837037037037,-0.10099555555555556,0.13173333333333334
1812,-0.03966,-0.10135333333333334,0.1322
1813,-0.03811407407407408,-0.1011488888888889,0.13193333333333335
1814,-0.03662962962962963,-0.10109777777777776,0.13186666666666666
1815,-0.03495111111111111,-0.10048444444444445,0.13106666666666666
1816,-0.03329037037037037,-0.09987111111111112,0.13026666666666667
1817,-0.032152592592592594,-0.10084222222222224,0.13153333333333334
1818,-0.030815555555555558,-0.10125111111111111,0.13206666666666667
1819,-0.02946666666666667,-0.10166,0.1326
1820,-0.02816222222222222,-0.10227333333333333,0.1334
1821,-0.026840000000000006,-0.10288666666666667,0.1342
1822,-0.02534888888888889,-0.10288666666666667,0.1342
1823,-0.02398814814814815,-0.10344888888888891,0.13493333333333335
1824,-0.022444444444444444,-0.10324444444444444,0.13466666666666666
1825,-0.020989629629629632,-0.10344888888888891,0.13493333333333335
1826,-0.019490370370370373,-0.10344888888888891,0.13493333333333335
1827,-0.017991111111111114,-0.10344888888888891,0.13493333333333335
1828,-0.016459259259259257,-0.10324444444444444,0.13466666666666666
1829,-0.015222222222222224,-0.10503333333333334,0.137
1830,-0.01394,-0.10687333333333332,0.1394
1831,-0.012485925925925928,-0.10769111111111113,0.14046666666666668
1832,-0.011070370370370371,-0.10912222222222222,0.14233333333333334
1833,-0.009733333333333335,-0.11193333333333336,0.14600000000000002
1834,-0.008125925925925927,-0.1121377777777778,0.14626666666666668
1835,-0.006512592592592593,-0.11234222222222223,0.14653333333333335
1836,-0.004884444444444445,-0.11234222222222223,0.14653333333333335
1837,-0.0032785185185185187,-0.11310888888888891,0.14753333333333335
1838,-0.0016392592592592594,-0.11310888888888891,0.14753333333333335
1839,0.0,-0.11387555555555556,0.14853333333333335
1840,0.0016614814814814817,-0.11464222222222224,0.14953333333333335
1841,0.0032933333333333334,-0.11362,0.1482
1842,0.004937777777777778,-0.11356888888888889,0.14813333333333334
1843,0.006604444444444445,-0.11392666666666668,0.1486
1844,0.008203703703703703,-0.11321111111111111,0.14766666666666667
1845,0.009875555555555556,-0.11356888888888889,0.14813333333333334
1846,0.01167703703703704,-0.11510222222222223,0.15013333333333334
1847,0.013362962962962962,-0.11525555555555554,0.15033333333333332
1848,0.01508,-0.11561333333333332,0.1508
1849,0.016866666666666665,-0.11638,0.1518
1850,0.018708148148148147,-0.1173511111111111,0.15306666666666666
1851,0.020444444444444442,-0.11755555555555554,0.15333333333333332
1852,0.02229259259259259,-0.11832222222222222,0.15433333333333332
1853,0.02384148148148148,-0.11750444444444444,0.15326666666666666
1854,0.025366666666666666,-0.11668666666666666,0.1522
1855,0.02696296296296296,-0.11627777777777776,0.15166666666666664
1856,0.028345925925925924,-0.1150511111111111,0.15006666666666665
1857,0.029759999999999998,-0.11407999999999999,0.1488
1858,0.031413333333333335,-0.11407999999999999,0.1488
