,u,v
0,127,390
1,128,386
2,128,387
3,128,388
4,128,389
5,128,390
6,128,391
7,128,392
8,128,393
9,128,394
10,129,383
11,129,384
12,129,385
13,129,386
14,129,387
15,129,388
16,129,389
17,129,390
18,129,391
19,129,392
20,129,393
21,129,394
22,129,395
23,130,382
24,130,383
25,130,384
26,130,385
27,130,386
28,130,387
29,130,388
30,130,389
31,130,390
32,130,391
33,130,392
34,130,393
35,130,394
36,130,395
37,130,396
38,131,381
39,131,382
40,131,383
41,131,384
42,131,385
43,131,386
44,131,387
45,131,388
46,131,389
47,131,390
48,131,391
49,131,392
50,131,393
51,131,394
52,131,395
53,131,396
54,132,381
55,132,382
56,132,383
57,132,384
58,132,385
59,132,386
60,132,387
61,132,388
62,132,389
63,132,390
64,132,391
65,132,392
66,132,393
67,132,394
68,132,395
69,132,396
70,132,397
71,133,381
72,133,382
73,133,383
74,133,384
75,133,385
76,133,386
77,133,387
78,133,388
79,133,389
80,133,390
81,133,391
82,133,392
83,133,393
84,133,394
85,133,395
86,133,396
87,133,397
88,134,381
89,134,382
90,134,383
91,134,384
92,134,385
93,134,386
94,134,387
95,134,388
96,134,389
97,134,390
98,134,391
99,134,392
100,134,393
101,134,394
102,134,395
103,134,396
104,134,397
105,134,427
106,134,428
107,134,429
108,134,430
109,134,431
110,134,432
111,134,433
112,134,434
113,134,435
114,134,436
115,135,381
116,135,382
117,135,383
118,135,384
119,135,385
120,135,386
121,135,387
122,135,388
123,135,389
124,135,390
125,135,391
126,135,392
127,135,393
128,135,394
129,135,395
130,135,396
131,135,397
132,135,425
133,135,426
134,135,427
135,135,428
136,135,429
137,135,430
138,135,431
139,135,432
140,135,433
141,135,434
142,135,435
143,135,436
144,135,437
145,136,381
146,136,382
147,136,383
148,136,384
149,136,385
150,136,386
151,136,387
152,136,388
153,136,389
154,136,390
155,136,391
156,136,392
157,136,393
158,136,394
159,136,395
160,136,396
161,136,397
162,136,422
163,136,423
164,136,424
165,136,425
166,136,426
167,136,427
168,136,428
169,136,429
170,136,430
171,136,431
172,136,432
173,136,433
174,136,434
175,136,435
176,136,436
177,136,437
178,136,438
179,137,381
180,137,382
181,137,383
182,137,384
183,137,385
184,137,386
185,137,387
186,137,388
187,137,389
188,137,390
189,137,391
190,137,392
191,137,393
192,137,394
193,137,395
194,137,396
195,137,397
196,137,418
197,137,419
198,137,421
199,137,422
200,137,423
201,137,424
202,137,425
203,137,426
204,137,427
205,137,428
206,137,429
207,137,430
208,137,431
209,137,432
210,137,433
211,137,434
212,137,435
213,137,436
214,137,437
215,137,438
216,138,381
217,138,382
218,138,383
219,138,384
220,138,385
221,138,386
222,138,387
223,138,388
224,138,389
225,138,390
226,138,391
227,138,392
228,138,393
229,138,394
230,138,395
231,138,396
232,138,397
233,138,418
234,138,419
235,138,420
236,138,421
237,138,422
238,138,423
239,138,424
240,138,425
241,138,426
242,138,427
243,138,428
244,138,429
245,138,430
246,138,431
247,138,432
248,138,433
249,138,434
250,138,435
251,138,436
252,138,437
253,138,438
254,138,439
255,139,381
256,139,382
257,139,383
258,139,384
259,139,385
260,139,386
261,139,387
262,139,388
263,139,389
264,139,390
265,139,391
266,139,392
267,139,393
268,139,394
269,139,395
270,139,396
271,139,397
272,139,417
273,139,418
274,139,419
275,139,420
276,139,421
277,139,422
278,139,423
279,139,424
280,139,425
281,139,426
282,139,427
283,139,428
284,139,429
285,139,430
286,139,431
287,139,432
288,139,433
289,139,434
290,139,435
291,139,436
292,139,437
293,139,438
294,139,439
295,139,440
296,140,382
297,140,383
298,140,384
299,140,385
300,140,386
301,140,387
302,140,388
303,140,389
304,140,390
305,140,391
306,140,392
307,140,393
308,140,394
309,140,395
310,140,396
311,140,417
312,140,418
313,140,419
314,140,420
315,140,421
316,140,422
317,140,423
318,140,424
319,140,425
320,140,426
321,140,427
322,140,428
323,140,429
324,140,430
325,140,431
326,140,432
327,140,433
328,140,434
329,140,435
330,140,436
331,140,437
332,140,438
333,140,439
334,140,440
335,141,384
336,141,385
337,141,386
338,141,387
339,141,388
340,141,389
341,141,390
342,141,391
343,141,392
344,141,393
345,141,394
346,141,395
347,141,396
348,141,417
349,141,418
350,141,419
351,141,420
352,141,421
353,141,422
354,141,423
355,141,424
356,141,425
357,141,426
358,141,427
359,141,428
360,141,429
361,141,430
362,141,431
363,141,432
364,141,433
365,141,434
366,141,435
367,141,436
368,141,437
369,141,438
370,141,439
371,141,440
372,142,387
373,142,388
374,142,389
375,142,390
376,142,391
377,142,392
378,142,393
379,142,394
380,142,395
381,142,416
382,142,417
383,142,418
384,142,419
385,142,420
386,142,421
387,142,422
388,142,423
389,142,424
390,142,425
391,142,426
392,142,427
393,142,428
394,142,429
395,142,430
396,142,431
397,142,432
398,142,433
399,142,434
400,142,435
401,142,436
402,142,437
403,142,438
404,142,439
405,142,440
406,142,441
407,143,391
408,143,392
409,143,393
410,143,394
411,143,395
412,143,416
413,143,417
414,143,418
415,143,419
416,143,420
417,143,421
418,143,422
419,143,423
420,143,424
421,143,425
422,143,426
423,143,427
424,143,428
425,143,429
