,x,y,z
0,0.0005333333333333334,-0.007866666666666666,0.004
1,0.009333333333333334,-0.1368888888888889,0.07
2,0.009966666666666667,-0.13493333333333335,0.069
3,0.0009333333333333334,-0.011733333333333333,0.006
4,6.666666666666667e-05,-0.0019444444444444446,0.001
5,0.002255555555555556,-0.05638888888888889,0.029
6,0.00631111111111111,-0.13805555555555554,0.071
7,0.011,-0.21388888888888888,0.11
8,0.012111111111111112,-0.21194444444444444,0.109
9,0.012466666666666666,-0.1983333333333333,0.102
10,0.019066666666666662,-0.27805555555555556,0.143
11,0.022099999999999998,-0.2975,0.153
12,0.020844444444444447,-0.2605555555555556,0.134
13,0.0185,-0.21583333333333335,0.111
14,0.012977777777777777,-0.14194444444444443,0.073
15,0.008122222222222222,-0.08361111111111111,0.043
16,0.0021999999999999997,-0.021388888888888888,0.011
17,0.0016666666666666666,-0.057999999999999996,0.03
18,0.007733333333333334,-0.22426666666666667,0.116
19,0.011355555555555556,-0.28226666666666667,0.146
20,0.0136,-0.2958,0.153
21,0.015399999999999999,-0.29773333333333335,0.154
22,0.017222222222222222,-0.29966666666666664,0.155
23,0.019311111111111112,-0.30546666666666666,0.158
24,0.02093333333333333,-0.3035333333333333,0.157
25,0.022677777777777776,-0.3035333333333333,0.157
26,0.02442222222222222,-0.3035333333333333,0.157
27,0.026166666666666668,-0.3035333333333333,0.157
28,0.027733333333333332,-0.3016,0.156
29,0.029088888888888886,-0.29773333333333335,0.154
30,0.028000000000000004,-0.2706666666666667,0.14
31,0.02153333333333333,-0.1972,0.102
32,0.012222222222222223,-0.10633333333333334,0.055
33,0.003966666666666667,-0.03286666666666667,0.017
34,0.00024444444444444443,-0.0019333333333333336,0.001
35,6.666666666666667e-05,-0.011533333333333333,0.006
36,0.0003777777777777778,-0.03267777777777778,0.017
37,0.00036666666666666667,-0.02114444444444444,0.011
38,0.002177777777777778,-0.09418888888888889,0.049
39,0.0074444444444444445,-0.2575777777777778,0.134
40,0.010333333333333333,-0.29794444444444446,0.155
41,0.012366666666666666,-0.30563333333333337,0.159
42,0.01448888888888889,-0.3133222222222222,0.163
43,0.0166,-0.31908888888888887,0.166
44,0.018888888888888893,-0.32677777777777783,0.17
45,0.02102222222222222,-0.3306222222222222,0.172
46,0.022533333333333332,-0.32485555555555556,0.169
47,0.024122222222222225,-0.32101111111111114,0.167
48,0.025666666666666667,-0.3171666666666667,0.165
49,0.027333333333333334,-0.31524444444444444,0.164
50,0.02897777777777778,-0.3133222222222222,0.163
51,0.03097777777777778,-0.31524444444444444,0.164
52,0.032600000000000004,-0.3133222222222222,0.163
53,0.03377777777777778,-0.3075555555555555,0.16
54,0.03488888888888889,-0.3017888888888889,0.157
55,0.033133333333333334,-0.27295555555555556,0.142
56,0.029822222222222226,-0.2345111111111111,0.122
57,0.026833333333333334,-0.20183333333333334,0.105
58,0.012,-0.08650000000000001,0.045
59,0.004166666666666667,-0.02883333333333333,0.015
60,-0.00016666666666666666,-0.005733333333333333,0.003
61,-0.0006222222222222223,-0.026755555555555553,0.014
62,-0.0011333333333333334,-0.06497777777777779,0.034
63,-0.0012444444444444445,-0.10702222222222221,0.056
64,-0.0009555555555555555,-0.16435555555555553,0.086
65,0.0,-0.21595555555555557,0.113
66,0.0015444444444444446,-0.26564444444444446,0.139
67,0.0034,-0.2924,0.153
68,0.004933333333333333,-0.28284444444444445,0.148
69,0.007066666666666666,-0.3038666666666667,0.159
70,0.00938888888888889,-0.3229777777777778,0.169
71,0.011333333333333334,-0.3248888888888889,0.17
72,0.013377777777777777,-0.32871111111111107,0.172
73,0.015466666666666665,-0.3325333333333333,0.174
74,0.017499999999999998,-0.33444444444444443,0.175
75,0.019444444444444445,-0.33444444444444443,0.175
76,0.021388888888888888,-0.33444444444444443,0.175
77,0.023466666666666667,-0.3363555555555555,0.176
78,0.02542222222222222,-0.3363555555555555,0.176
79,0.02722222222222222,-0.33444444444444443,0.175
80,0.029166666666666667,-0.33444444444444443,0.175
81,0.03111111111111111,-0.33444444444444443,0.175
82,0.03305555555555555,-0.33444444444444443,0.175
83,0.0348,-0.3325333333333333,0.174
84,0.03652222222222222,-0.3306222222222222,0.173
85,0.03755555555555556,-0.3229777777777778,0.169
86,0.038733333333333335,-0.3172444444444445,0.166
87,0.03935555555555556,-0.3076888888888889,0.161
88,0.04088888888888889,-0.30577777777777776,0.16
89,0.0416,-0.29813333333333336,0.156
90,0.04027777777777777,-0.2771111111111111,0.145
91,0.032355555555555554,-0.21404444444444443,0.112
92,0.0228,-0.14524444444444443,0.076
93,0.012444444444444445,-0.07644444444444444,0.04
94,0.001288888888888889,-0.007644444444444445,0.004
95,-0.0004666666666666667,-0.0114,0.006
96,-0.004066666666666666,-0.11589999999999999,0.061
97,-0.006944444444444444,-0.2375,0.125
98,-0.006266666666666666,-0.26789999999999997,0.141
99,-0.004999999999999999,-0.285,0.15
100,-0.003533333333333333,-0.3021,0.159
101,-0.0018444444444444446,-0.3154,0.166
102,0.0,-0.32300000000000006,0.17
103,0.0019000000000000002,-0.3249,0.171
104,0.003822222222222222,-0.3268,0.172
105,0.005733333333333333,-0.3268,0.172
106,0.007644444444444444,-0.3268,0.172
