,one,two,three
399,207,208,242
400,207,242,241
401,208,209,243
402,208,243,242
403,209,244,243
404,210,211,245
405,211,212,246
406,211,246,245
407,212,213,247
408,212,247,246
409,213,214,248
410,213,248,247
411,214,215,249
412,214,249,248
413,215,216,250
414,215,250,249
415,216,217,251
416,216,251,250
417,217,218,252
418,217,252,251
419,218,219,253
420,218,253,252
421,219,220,254
422,219,254,253
423,220,221,255
424,220,255,254
425,221,222,256
426,221,256,255
427,222,223,257
428,222,257,256
429,223,224,258
430,223,258,257
431,224,225,259
432,224,259,258
433,225,226,260
434,225,260,259
435,226,227,261
436,226,261,260
437,227,228,262
438,227,262,261
439,228,229,263
440,228,263,262
441,229,230,264
442,229,264,263
443,230,231,265
444,230,265,264
445,231,232,266
446,231,266,265
447,232,233,267
448,232,267,266
449,233,234,268
450,233,268,267
451,234,235,269
452,234,269,268
453,235,236,270
454,235,270,269
455,236,237,271
456,236,271,270
457,237,238,272
458,237,272,271
459,238,239,273
460,238,273,272
461,239,240,274
462,239,274,273
463,240,241,275
464,240,275,274
465,241,242,276
466,241,276,275
467,242,243,277
468,242,277,276
469,243,244,278
470,243,278,277
471,244,279,278
472,245,246,280
473,246,247,281
474,246,281,280
475,247,248,282
476,247,282,281
477,248,249,283
478,248,283,282
479,249,250,284
480,249,284,283
481,250,251,285
482,250,285,284
483,251,252,286
484,251,286,285
485,252,253,287
486,252,287,286
487,253,254,288
488,253,288,287
489,254,255,289
490,254,289,288
491,255,256,290
492,255,290,289
493,256,257,291
494,256,291,290
495,257,258,292
496,257,292,291
497,258,259,293
498,258,293,292
499,259,260,294
500,259,294,293
501,260,261,295
502,260,295,294
503,261,262,296
504,261,296,295
505,262,263,297
506,262,297,296
507,263,264,298
508,263,298,297
509,264,265,299
510,264,299,298
511,265,266,300
512,265,300,299
513,266,267,301
514,266,301,300
515,267,268,302
516,267,302,301
517,268,269,303
518,268,303,302
519,269,270,304
520,269,304,303
521,270,271,305
522,270,305,304
523,271,272,306
524,271,306,305
525,272,273,307
526,272,307,306
527,273,274,308
528,273,308,307
529,274,275,309
530,274,309,308
531,275,276,310
532,275,310,309
533,276,277,311
534,276,311,310
535,277,278,312
536,277,312,311
537,278,279,313
538,278,313,312
539,279,314,313
540,280,281,315
541,281,282,316
542,281,316,315
543,282,283,317
544,282,317,316
545,283,284,318
546,283,318,317
547,284,285,319
548,284,319,318
549,285,286,320
550,285,320,319
551,286,287,321
552,286,321,320
553,287,288,322
554,287,322,321
555,288,289,323
556,288,323,322
557,289,290,324
558,289,324,323
559,290,291,325
560,290,325,324
561,291,292,326
562,291,326,325
563,292,293,327
564,292,327,326
565,293,294,328
566,293,328,327
567,294,295,329
568,294,329,328
569,295,296,330
570,295,330,329
571,296,297,331
572,296,331,330
573,297,298,332
574,297,332,331
575,298,299,333
576,298,333,332
577,299,300,334
578,299,334,333
579,300,301,335
580,300,335,334
581,301,302,336
582,301,336,335
583,302,303,337
584,302,337,336
585,303,304,338
586,303,338,337
587,304,305,339
588,304,339,338
589,305,306,340
590,305,340,339
591,306,307,341
592,306,341,340
593,307,308,342
594,307,342,341
595,308,309,343
596,308,343,342
597,309,310,344
598,309,344,343
599,310,311,345
600,310,345,344
601,311,312,346
602,311,346,345
603,312,313,347
604,312,347,346
605,313,314,348
606,313,348,347
607,314,349,348
608,315,316,353
609,316,317,354
610,316,354,353
611,317,318,355
612,317,355,354
613,318,319,356
614,318,356,355
615,319,320,357
616,319,357,356
617,320,321,358
618,320,358,357
619,321,322,359
620,321,359,358
621,322,323,360
622,322,360,359
623,323,324,361
624,323,361,360
625,324,325,362
626,324,362,361
627,325,326,363
