,u,v
0,134,395
1,134,396
2,134,397
3,134,398
4,134,399
5,134,400
6,134,401
7,134,402
8,134,403
9,134,404
10,135,392
11,135,393
12,135,394
13,135,395
14,135,396
15,135,397
16,135,398
17,135,399
18,135,400
19,135,401
20,135,402
21,135,403
22,135,404
23,135,405
24,135,406
25,135,407
26,136,364
27,136,365
28,136,366
29,136,367
30,136,368
31,136,369
32,136,370
33,136,371
34,136,388
35,136,389
36,136,390
37,136,391
38,136,392
39,136,393
40,136,394
41,136,395
42,136,396
43,136,397
44,136,398
45,136,399
46,136,400
47,136,401
48,136,402
49,136,403
50,136,404
51,136,405
52,136,406
53,136,407
54,136,408
55,137,364
56,137,365
57,137,366
58,137,367
59,137,368
60,137,369
61,137,370
62,137,371
63,137,388
64,137,389
65,137,390
66,137,391
67,137,392
68,137,393
69,137,394
70,137,395
71,137,396
72,137,397
73,137,398
74,137,399
75,137,400
76,137,401
77,137,402
78,137,403
79,137,404
80,137,405
81,137,406
82,137,407
83,137,408
84,138,364
85,138,365
86,138,366
87,138,367
88,138,368
89,138,369
90,138,370
91,138,371
92,138,388
93,138,389
94,138,390
95,138,391
96,138,392
97,138,393
98,138,394
99,138,395
100,138,396
101,138,397
102,138,398
103,138,399
104,138,400
105,138,401
106,138,402
107,138,403
108,138,404
109,138,405
110,138,406
111,138,407
112,138,408
113,139,364
114,139,365
115,139,366
116,139,367
117,139,368
118,139,369
119,139,370
120,139,371
121,139,387
122,139,388
123,139,389
124,139,390
125,139,391
126,139,392
127,139,393
128,139,394
129,139,395
130,139,396
131,139,397
132,139,398
133,139,399
134,139,400
135,139,401
136,139,402
137,139,403
138,139,404
139,139,405
140,139,406
141,139,407
142,139,408
143,140,364
144,140,365
145,140,366
146,140,367
147,140,368
148,140,369
149,140,370
150,140,371
151,140,387
152,140,388
153,140,389
154,140,390
155,140,391
156,140,392
157,140,393
158,140,394
159,140,395
160,140,396
161,140,397
162,140,398
163,140,399
164,140,400
165,140,401
